,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
152,Littleton,1626958800,39.5914,-105.0189,2,220.3,0.15,3.77,25.39,0.11,12.71,13.38,0.44,"48,065",2021,7,22,13,0
153,Lochbuie,1626958800,40.0117,-104.7272,1,226.97,0.28,7.37,6.71,0.06,6.3,7.17,3.96,"7,304",2021,7,22,13,0
154,Log Lane Village,1626958800,40.2697,-103.8289,2,270.37,0.1,5.44,31.11,0.19,18.35,19.35,4.43,849,2021,7,22,13,0
155,Lone Tree,1626958800,39.5308,-104.8708,2,280.38,2.65,12.34,6.44,0.6,14.46,15.17,0.92,"13,082",2021,7,22,13,0
156,Longmont,1626958800,40.1686,-105.1006,1,220.3,0.05,3.47,23.6,0.05,3.06,3.46,0.81,"97,261",2021,7,22,13,0
157,Louisville,1626958800,39.9711,-105.1442,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"20,816",2021,7,22,13,0
158,Loveland,1626958800,40.4167,-105.0622,1,185.25,0.14,2.72,13.95,0.08,4.08,4.57,1.49,"78,877",2021,7,22,13,0
159,Lyons,1626958800,40.2231,-105.2692,1,186.92,0.04,1.63,18.6,0.02,3.5,3.89,0.22,"2,189",2021,7,22,13,0
160,Manassa,1626958800,37.1739,-105.9372,1,165.22,0.08,1.52,7.51,0.01,5.89,6.1,1.08,"1,001",2021,7,22,13,0
161,Mancos,1626958800,37.3467,-108.2939,1,196.93,0.01,1.07,33.62,0.09,4.01,4.48,0.58,"1,430",2021,7,22,13,0
162,Manitou Springs,1626958800,38.8575,-104.9128,2,210.29,0.01,1.16,39.34,0.12,14.09,14.76,0.45,"5,390",2021,7,22,13,0
163,Manzanola,1626958800,38.1089,-103.8667,2,198.6,0.01,1.37,55.08,0.05,10.08,29.21,2.69,417,2021,7,22,13,0
164,Marble,1626958800,39.0717,-107.1908,1,165.22,0.02,1.65,14.48,0.04,4.28,4.74,2.25,134,2021,7,22,13,0
165,Mead,1626958800,40.2317,-104.9911,1,216.96,0.26,6.94,14.31,0.21,4.79,5.43,2.09,"4,731",2021,7,22,13,0
166,Meeker,1626958800,40.05,-107.8947,1,188.59,0.0,0.78,27.9,0.03,2.32,2.72,1.38,"2,252",2021,7,22,13,0
167,Merino,1626958800,40.4836,-103.3536,1,206.95,0.12,4.03,36.48,0.05,9.53,10.24,4.56,281,2021,7,22,13,0
168,Milliken,1626958800,40.3114,-104.8561,1,216.96,0.26,6.94,14.31,0.21,4.79,5.43,2.09,"8,164",2021,7,22,13,0
169,Minturn,1626958800,39.5461,-106.3869,1,170.23,0.32,6.08,11.8,0.09,8.95,9.41,0.61,"1,145",2021,7,22,13,0
170,Moffat,1626958800,38.0028,-105.9064,1,191.93,0.01,1.11,30.04,0.08,6.24,6.64,1.11,119,2021,7,22,13,0
171,Monte Vista,1626958800,37.5789,-106.15,1,170.23,0.11,2.96,9.84,0.02,6.14,6.35,3.04,"4,138",2021,7,22,13,0
172,Montezuma,1626958800,39.5814,-105.8678,2,195.27,0.08,4.24,33.98,0.4,13.59,14.09,0.3,74,2021,7,22,13,0
173,Montrose,1626958800,38.4689,-107.8589,1,188.59,0.07,2.87,8.94,0.01,2.17,2.34,4.24,"19,782",2021,7,22,13,0
174,Monument,1626958800,39.0736,-104.8467,2,220.3,0.01,1.0,38.62,0.16,16.34,16.96,0.32,"8,097",2021,7,22,13,0
175,Morrison,1626958800,39.6369,-105.2006,1,213.62,0.01,1.36,46.49,0.11,8.01,8.53,0.23,424,2021,7,22,13,0
176,Mount Crested Butte,1626958800,38.9083,-106.9606,1,178.58,0.0,0.39,35.05,0.08,5.61,5.85,2.22,876,2021,7,22,13,0
177,Mountain View,1626958800,39.7747,-105.0567,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,537,2021,7,22,13,0
178,Mountain Village,1626958800,37.9325,-107.8578,1,181.91,0.02,1.8,23.25,0.03,4.31,4.53,0.59,"1,426",2021,7,22,13,0
179,Naturita,1626958800,38.2183,-108.5667,1,208.62,0.01,1.07,24.68,0.08,2.14,2.33,1.87,532,2021,7,22,13,0
180,Nederland,1626958800,39.9633,-105.5072,1,195.27,0.01,0.83,31.83,0.05,6.27,6.67,0.07,"1,533",2021,7,22,13,0
181,New Castle,1626958800,39.5775,-107.5267,1,168.56,0.41,4.88,3.89,0.01,3.43,3.94,2.09,"5,203",2021,7,22,13,0
182,Northglenn,1626958800,39.9108,-104.9783,1,250.34,1.87,12.51,4.34,0.22,4.43,5.17,2.34,"38,819",2021,7,22,13,0
183,Norwood,1626958800,38.1292,-108.2919,1,196.93,0.0,1.02,25.75,0.03,2.47,2.65,1.17,579,2021,7,22,13,0
184,Nucla,1626958800,38.2667,-108.5486,1,208.62,0.01,1.07,24.68,0.08,2.14,2.33,1.87,714,2021,7,22,13,0
185,Nunn,1626958800,40.7139,-104.7889,1,220.3,0.05,2.7,27.9,0.23,6.78,7.16,3.14,464,2021,7,22,13,0
186,Oak Creek,1626958800,40.2742,-106.9575,1,156.88,0.15,2.38,7.15,0.02,4.1,4.54,0.32,959,2021,7,22,13,0
187,Olathe,1626958800,38.6083,-107.9833,1,200.27,0.02,2.08,14.48,0.01,3.41,3.69,2.28,"1,837",2021,7,22,13,0
188,Olney Springs,1626958800,38.1664,-103.9444,2,198.6,0.01,1.37,55.08,0.05,10.08,29.21,2.69,340,2021,7,22,13,0
189,Ophir,1626958800,37.8569,-107.8311,1,181.91,0.02,1.8,23.25,0.03,4.31,4.53,0.59,184,2021,7,22,13,0
190,Orchard City,1626958800,38.8144,-107.9706,1,183.58,0.01,1.44,21.82,0.03,3.6,4.01,1.16,"3,212",2021,7,22,13,0
191,Ordway,1626958800,38.2208,-103.7567,2,191.93,0.01,1.05,55.79,0.07,9.19,25.53,2.44,"1,054",2021,7,22,13,0
192,Otis,1626958800,40.15,-102.9622,1,191.93,0.02,1.2,55.79,0.1,5.77,6.41,1.82,486,2021,7,22,13,0
193,Ouray,1626958800,38.0275,-107.6733,1,188.59,0.03,2.04,17.35,0.02,3.43,3.64,0.63,"1,034",2021,7,22,13,0
194,Ovid,1626958800,40.9608,-102.3883,1,200.27,0.03,1.76,60.8,0.14,6.16,6.27,2.22,300,2021,7,22,13,0
195,Pagosa Springs,1626958800,37.2675,-107.0306,1,170.23,0.0,0.3,13.95,0.01,4.82,4.98,0.05,"2,085",2021,7,22,13,0
196,Palisade,1626958800,39.1083,-108.3572,1,211.95,0.01,3.94,20.56,0.05,3.04,3.59,3.83,"2,736",2021,7,22,13,0
197,Palmer Lake,1626958800,39.1153,-104.9061,2,220.3,0.01,1.0,38.62,0.16,16.34,16.96,0.32,"2,993",2021,7,22,13,0
198,Paoli,1626958800,40.6128,-102.4717,1,195.27,0.03,1.5,55.79,0.1,5.89,6.03,2.5,34,2021,7,22,13,0
199,Paonia,1626958800,38.8697,-107.5919,1,113.49,0.12,2.51,2.95,0.0,3.19,3.7,2.09,"1,469",2021,7,22,13,0
200,Parachute,1626958800,39.4508,-108.0531,1,185.25,0.01,2.51,21.46,0.03,2.74,3.33,2.09,"1,116",2021,7,22,13,0
201,Parker,1626958800,39.5083,-104.7753,2,263.69,0.23,10.37,26.46,0.94,17.16,17.76,0.88,"57,706",2021,7,22,13,0
202,Peetz,1626958800,40.9619,-103.1139,1,193.6,0.28,3.73,16.27,0.03,9.84,11.32,4.05,235,2021,7,22,13,0
203,Pierce,1626958800,40.6411,-104.7703,1,220.3,0.05,2.7,27.9,0.23,6.78,7.16,3.14,"1,133",2021,7,22,13,0
204,Pitkin,1626958800,38.6086,-106.515,1,196.93,0.0,0.37,40.77,0.12,5.7,5.97,1.28,69,2021,7,22,13,0
205,Platteville,1626958800,40.2219,-104.8342,1,216.96,0.26,6.94,14.31,0.21,4.79,5.43,2.09,"2,760",2021,7,22,13,0
206,Poncha Springs,1626958800,38.5142,-106.0942,1,165.22,0.04,1.41,13.41,0.01,7.43,7.83,0.2,956,2021,7,22,13,0
207,Pritchett,1626958800,37.37,-102.8586,1,188.59,0.01,0.6,67.23,0.05,5.88,6.34,1.63,131,2021,7,22,13,0
208,Pueblo,1626958800,38.27,-104.6114,2,236.99,0.02,4.8,32.9,0.29,11.25,17.48,2.82,"112,361",2021,7,22,13,0
209,Ramah,1626958800,39.1222,-104.1672,1,185.25,0.01,1.44,45.78,0.02,7.11,14.71,2.6,130,2021,7,22,13,0
210,Rangely,1626958800,40.0861,-108.7794,1,223.64,0.0,0.53,54.36,0.13,1.73,3.38,1.38,"2,263",2021,7,22,13,0
211,Raymer,1626958800,40.6081,-103.8436,2,220.3,0.05,2.23,27.9,0.09,10.38,12.67,6.08,112,2021,7,22,13,0
212,Red Cliff,1626958800,39.5092,-106.37,1,170.23,0.32,6.08,11.8,0.09,8.95,9.41,0.61,282,2021,7,22,13,0
213,Rico,1626958800,37.6892,-108.0317,1,180.24,0.0,0.62,37.91,0.1,4.26,4.53,1.01,231,2021,7,22,13,0
214,Ridgway,1626958800,38.1572,-107.7547,1,188.59,0.03,2.04,17.35,0.02,3.43,3.64,0.63,"1,039",2021,7,22,13,0
215,Rifle,1626958800,39.5361,-107.7728,1,163.56,0.81,4.11,1.77,0.0,3.34,3.85,2.19,"9,706",2021,7,22,13,0
216,Rockvale,1626958800,38.3644,-105.1647,2,203.61,0.02,2.42,21.64,0.06,14.41,14.94,2.09,519,2021,7,22,13,0
217,Rocky Ford,1626958800,38.05,-103.7225,2,196.93,0.02,1.86,51.5,0.04,9.36,25.93,2.95,"3,815",2021,7,22,13,0
218,Romeo,1626958800,37.1719,-105.9853,1,165.22,0.08,1.52,7.51,0.01,5.89,6.1,1.08,411,2021,7,22,13,0
219,Rye,1626958800,37.9214,-104.9319,2,173.57,0.02,4.24,42.92,0.84,11.43,12.87,0.79,165,2021,7,22,13,0
220,Saguache,1626958800,38.0864,-106.1411,1,171.9,0.01,0.78,15.02,0.01,6.07,6.4,0.36,505,2021,7,22,13,0
221,Salida,1626958800,38.53,-105.9978,1,175.24,0.27,6.0,6.97,0.02,7.99,8.76,1.74,"6,082",2021,7,22,13,0
222,San Luis,1626958800,37.2025,-105.4225,1,223.64,0.03,3.73,32.19,0.03,3.74,4.0,2.88,658,2021,7,22,13,0
223,Sanford,1626958800,37.2575,-105.9008,1,161.89,0.14,3.51,6.26,0.02,6.06,6.29,4.69,887,2021,7,22,13,0
224,Sawpit,1626958800,37.9947,-108.0022,1,165.22,0.01,1.05,16.63,0.02,3.91,4.11,0.46,39,2021,7,22,13,0
225,Sedgwick,1626958800,40.9356,-102.5256,1,193.6,0.04,1.59,55.08,0.08,5.97,6.1,2.41,137,2021,7,22,13,0
226,Seibert,1626958800,39.2981,-102.8694,1,191.93,0.01,1.04,68.67,0.25,6.56,7.41,1.9,213,2021,7,22,13,0
227,Severance,1626958800,40.5267,-104.865,1,220.3,0.05,3.43,26.82,0.24,5.22,5.58,1.79,"6,494",2021,7,22,13,0
228,Sheridan,1626958800,39.6467,-105.0183,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,"6,183",2021,7,22,13,0
229,Sheridan Lake,1626958800,38.4667,-102.2944,1,208.62,0.01,0.85,69.38,0.25,6.34,6.43,1.71,83,2021,7,22,13,0
230,Silt,1626958800,39.5483,-107.6533,1,163.56,0.81,4.11,1.77,0.0,3.34,3.85,2.19,"3,190",2021,7,22,13,0
231,Silver Cliff,1626958800,38.1203,-105.4103,2,168.56,0.01,1.39,23.6,0.04,11.78,12.37,1.22,667,2021,7,22,13,0
232,Silver Plume,1626958800,39.6956,-105.7264,2,191.93,0.01,0.86,43.27,0.14,10.16,10.6,0.15,177,2021,7,22,13,0
233,Silverthorne,1626958800,39.6561,-106.0869,2,161.89,0.03,1.63,11.27,0.05,10.11,10.64,0.06,"4,898",2021,7,22,13,0
234,Silverton,1626958800,37.8108,-107.6647,1,203.61,0.01,1.8,44.35,0.13,3.93,4.17,3.39,663,2021,7,22,13,0
235,Simla,1626958800,39.1408,-104.0825,1,185.25,0.01,1.44,45.78,0.02,7.11,14.71,2.6,640,2021,7,22,13,0
236,Snowmass Village,1626958800,39.2211,-106.9392,1,163.56,0.05,1.89,10.64,0.02,4.77,4.99,1.52,"2,732",2021,7,22,13,0
237,South Fork,1626958800,37.6692,-106.6417,1,150.2,0.08,1.48,7.96,0.01,4.67,4.79,0.03,425,2021,7,22,13,0
238,Springfield,1626958800,37.405,-102.6189,1,191.93,0.01,0.7,67.95,0.05,6.04,6.53,1.55,"1,375",2021,7,22,13,0
239,Starkville,1626958800,37.1169,-104.5233,1,173.57,0.01,1.34,40.05,0.02,5.03,6.71,0.61,54,2021,7,22,13,0
240,Steamboat Springs,1626958800,40.4778,-106.8242,1,183.58,0.02,2.61,20.74,1.24,5.37,5.88,0.27,"13,214",2021,7,22,13,0
241,Sterling,1626958800,40.6206,-103.1925,1,200.27,0.19,4.54,27.18,0.04,8.6,9.29,4.75,"14,495",2021,7,22,13,0
242,Stratton,1626958800,39.3028,-102.6033,1,196.93,0.01,1.1,70.1,0.32,6.67,6.87,1.88,639,2021,7,22,13,0
243,Sugar City,1626958800,38.2328,-103.6633,2,191.93,0.01,1.05,55.79,0.07,9.19,25.53,2.44,253,2021,7,22,13,0
244,Superior,1626958800,39.9339,-105.1589,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"13,087",2021,7,22,13,0
245,Swink,1626958800,38.0142,-103.6281,2,196.93,0.02,1.86,51.5,0.04,9.36,25.93,2.95,592,2021,7,22,13,0
246,Telluride,1626958800,37.9364,-107.8269,1,181.91,0.02,1.8,23.25,0.03,4.31,4.53,0.59,"2,479",2021,7,22,13,0
247,Thornton,1626958800,39.9197,-104.9439,1,250.34,1.87,12.51,4.34,0.22,4.43,5.17,2.34,"141,464",2021,7,22,13,0
248,Timnath,1626958800,40.5339,-104.9622,1,220.3,0.05,3.43,26.82,0.24,5.22,5.58,1.79,"4,998",2021,7,22,13,0
249,Trinidad,1626958800,37.175,-104.4908,1,173.57,0.01,1.34,40.05,0.02,5.03,6.71,0.61,"8,200",2021,7,22,13,0
250,Two Buttes,1626958800,37.5606,-102.3967,1,186.92,0.01,0.68,77.25,0.1,5.75,5.82,1.68,40,2021,7,22,13,0
251,Vail,1626958800,39.6386,-106.3611,1,183.58,0.01,0.75,36.84,0.2,7.27,7.71,0.15,"5,434",2021,7,22,13,0
252,Victor,1626958800,38.7086,-105.1419,2,208.62,0.02,1.86,28.97,0.09,14.03,14.71,0.42,426,2021,7,22,13,0
253,Vilas,1626958800,37.3736,-102.4475,1,188.59,0.01,0.64,75.1,0.06,5.69,5.84,1.54,107,2021,7,22,13,0
254,Vona,1626958800,39.3022,-102.7433,1,196.93,0.01,1.1,70.1,0.32,6.67,6.87,1.88,104,2021,7,22,13,0
255,Walden,1626958800,40.7317,-106.2814,1,181.91,0.03,1.41,15.91,0.21,8.1,8.45,0.86,599,2021,7,22,13,0
256,Walsenburg,1626958800,37.6306,-104.7817,1,185.25,0.04,3.86,25.39,0.04,7.94,8.82,5.38,"3,029",2021,7,22,13,0
257,Walsh,1626958800,37.3861,-102.28,1,183.58,0.01,0.67,79.39,0.1,5.65,5.72,1.74,516,2021,7,22,13,0
258,Ward,1626958800,40.0722,-105.5139,1,193.6,0.0,0.52,32.9,0.04,4.6,4.94,0.11,161,2021,7,22,13,0
259,Wellington,1626958800,40.7,-105.0053,1,216.96,0.0,0.7,43.99,0.47,6.81,7.16,0.97,"10,437",2021,7,22,13,0
260,Westcliffe,1626958800,38.1339,-105.4653,2,168.56,0.01,1.39,23.6,0.04,11.78,12.37,1.22,628,2021,7,22,13,0
261,Westminster,1626958800,39.8836,-105.0625,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"113,166",2021,7,22,13,0
262,Wheat Ridge,1626958800,39.7728,-105.1028,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,"31,324",2021,7,22,13,0
263,Wiggins,1626958800,40.2286,-104.0725,2,263.69,0.24,7.37,15.56,0.08,17.79,19.17,6.14,"1,163",2021,7,22,13,0
264,Wiley,1626958800,38.1553,-102.7192,1,190.26,0.01,1.19,63.66,0.11,6.41,8.02,2.0,393,2021,7,22,13,0
265,Williamsburg,1626958800,38.3839,-105.1711,2,203.61,0.02,2.42,21.64,0.06,14.41,14.94,2.09,713,2021,7,22,13,0
266,Windsor,1626958800,40.4689,-104.92,1,220.3,0.05,3.43,26.82,0.24,5.22,5.58,1.79,"30,477",2021,7,22,13,0
267,Winter Park,1626958800,39.8786,-105.7828,1,175.24,0.03,1.84,21.28,0.04,6.47,6.9,0.21,"1,090",2021,7,22,13,0
268,Woodland Park,1626958800,38.9986,-105.0594,2,220.3,0.01,1.09,41.49,0.26,15.44,16.39,0.21,"7,885",2021,7,22,13,0
269,Wray,1626958800,40.08,-102.2283,1,198.6,0.01,0.88,72.96,0.25,6.24,6.32,2.31,"2,349",2021,7,22,13,0
270,Yampa,1626958800,40.1531,-106.9086,1,145.2,0.04,1.15,10.37,0.01,4.14,4.65,0.37,464,2021,7,22,13,0
271,Yuma,1626958800,40.1236,-102.7161,1,193.6,0.02,1.14,60.08,0.14,5.94,6.21,2.06,"3,479",2021,7,22,13,0
272,Absarokee,1626958800,45.52,-109.45,2,191.93,0.02,1.31,16.09,0.0,14.14,15.0,2.76,,2021,7,22,13,0
273,Alberton ,1626958800,47.0,-114.48,1,151.87,0.28,3.09,6.62,0.01,7.93,8.12,0.11,,2021,7,22,13,0
274,Alder,1626958800,45.32,-112.11,2,226.97,0.01,2.96,35.05,0.02,14.44,15.4,6.78,,2021,7,22,13,0
275,Alzada,1626958800,45.02,-104.41,3,260.35,0.05,1.91,37.91,0.06,24.57,26.36,4.12,,2021,7,22,13,0
276,Amsterdam,1626958800,45.75,-111.33,2,208.62,0.11,6.17,14.66,0.02,11.5,12.28,9.12,,2021,7,22,13,0
277,Anaconda,1626958800,46.06,-113.07,2,233.65,0.0,1.61,76.53,0.08,15.37,16.16,1.31,,2021,7,22,13,0
278,Antelope,1626958800,48.69,-104.45,2,193.6,0.06,2.44,31.11,0.98,10.42,12.46,0.88,,2021,7,22,13,0
279,Arlee,1626958800,47.17,-114.08,2,205.28,0.03,7.2,28.25,0.04,11.72,12.09,6.65,,2021,7,22,13,0
280,Ashland,1626958800,45.6,-106.3,2,240.33,0.02,1.46,31.83,0.1,14.17,15.42,3.71,,2021,7,22,13,0
281,Augusta,1626958800,47.49,-112.39,2,210.29,0.0,0.65,72.24,0.06,10.28,10.62,0.96,,2021,7,22,13,0
282,Avon,1626958800,46.63,-112.58,2,220.3,0.0,0.87,47.92,0.03,14.8,15.23,0.47,,2021,7,22,13,0
283,Azure,1626958800,48.31,-109.81,2,267.03,0.0,1.35,80.11,0.06,12.2,16.05,1.74,,2021,7,22,13,0
284,Babb,1626958800,48.88,-113.44,1,180.24,0.01,0.58,74.39,0.1,2.39,2.64,0.44,,2021,7,22,13,0
285,Bainville ,1626958800,48.14,-104.22,2,193.6,0.06,2.79,39.34,1.59,11.54,13.84,0.94,,2021,7,22,13,0
286,Baker ,1626958800,46.36,-104.27,2,253.68,0.02,1.76,60.8,2.8,14.17,16.45,2.79,,2021,7,22,13,0
287,Ballantine,1626958800,45.95,-108.14,2,257.02,0.19,9.77,17.35,0.23,11.45,11.99,6.14,,2021,7,22,13,0
288,Basin,1626958800,46.28,-112.29,2,230.31,0.0,0.87,50.07,0.02,15.91,16.4,0.31,,2021,7,22,13,0
289,Batavia,1626958800,48.18,-114.41,1,190.26,0.01,0.87,62.23,0.05,3.24,3.58,0.24,,2021,7,22,13,0
290,Bear Dance,1626958800,47.9,-114.03,1,195.27,0.04,3.68,23.25,0.22,7.84,8.03,0.88,,2021,7,22,13,0
291,Bearcreek ,1626958800,45.16,-109.16,2,257.02,0.01,1.82,54.36,0.04,19.47,21.02,2.69,,2021,7,22,13,0
292,Beaver Creek,1626958800,48.54,-109.81,2,253.68,0.0,1.03,81.54,0.08,10.78,13.06,1.6,,2021,7,22,13,0
293,Belfry,1626958800,45.14,-109.0,2,247.0,0.04,2.96,18.24,0.01,19.51,23.75,3.86,,2021,7,22,13,0
294,Belgrade ,1626958800,45.78,-111.18,2,196.93,0.26,6.0,8.94,0.03,12.38,13.12,5.32,,2021,7,22,13,0
295,Belknap,1626958800,47.65,-115.42,1,170.23,0.04,2.74,22.89,0.03,2.89,3.18,0.69,,2021,7,22,13,0
296,Belt ,1626958800,47.39,-110.93,2,293.73,0.01,1.59,62.23,0.02,17.9,18.17,2.41,,2021,7,22,13,0
297,Biddle,1626958800,45.11,-105.31,3,260.35,0.06,2.38,22.35,0.01,21.72,23.73,4.31,,2021,7,22,13,0
298,Big Arm,1626958800,47.79,-114.27,1,195.27,0.02,3.0,25.39,0.03,9.19,9.32,6.65,,2021,7,22,13,0
299,Big Sandy ,1626958800,48.18,-110.11,2,260.35,0.01,1.36,73.67,0.06,12.65,18.6,2.0,,2021,7,22,13,0
300,Big Sky,1626958800,45.26,-111.34,2,188.59,0.0,0.66,36.12,0.02,11.24,12.09,1.52,,2021,7,22,13,0
301,Big Timber ,1626958800,45.83,-109.95,2,253.68,0.01,1.52,66.52,0.04,10.98,11.61,2.28,,2021,7,22,13,0
302,Bigfork,1626958800,48.09,-114.06,1,201.94,0.18,3.86,11.8,0.83,3.97,4.16,1.28,,2021,7,22,13,0
303,Billings ,1626958800,45.79,-108.55,2,280.38,0.08,8.91,18.95,0.32,12.77,13.57,7.41,,2021,7,22,13,0
304,Birney,1626958800,45.42,-106.49,2,247.0,0.01,1.1,53.64,0.25,15.11,16.43,2.95,,2021,7,22,13,0
305,Black Eagle,1626958800,47.53,-111.27,2,250.34,0.09,6.43,20.56,0.01,16.17,16.5,3.71,,2021,7,22,13,0
306,Boneau,1626958800,48.29,-109.86,2,267.03,0.0,1.35,80.11,0.06,12.2,16.05,1.74,,2021,7,22,13,0
